iter	Passed	Remaining
652	84309	44801
653	84427	44666
654	84539	44528
655	84662	44396
656	84788	44265
657	84920	44138
658	85050	44009
659	85183	43882
660	85316	43755
661	85465	43636
662	85629	43524
663	85759	43396
664	85897	43271
665	86021	43140
666	86145	43008
667	86268	42876
668	86391	42743
669	86516	42612
670	86638	42479
671	86764	42349
672	86900	42223
673	87039	42099
674	87188	41979
675	87323	41853
676	87454	41724
677	87585	41596
678	87716	41468
679	87842	41337
680	87974	41209
681	88117	41086
682	88266	40967
683	88412	40845
684	88570	40729
685	88694	40597
686	88832	40472
687	88972	40347
688	89123	40228
689	89259	40102
690	89380	39969
691	89519	39843
692	89651	39715
693	89789	39590
694	89922	39462
695	90051	39332
696	90184	39204
697	90308	39073
698	90434	38942
699	90556	38810
700	90677	38676
701	90810	38549
702	90951	38424
703	91088	38298
704	91225	38172
705	91385	38055
706	91547	37939
707	91720	37828
708	91867	37705
709	91994	37575
710	92112	37441
711	92240	37310
712	92379	37185
713	92523	37061
714	92679	36942
715	92888	36844
716	93042	36723
717	93209	36608
718	93344	36481
719	93490	36357
720	93623	36228
721	93807	36119
722	94261	36113
723	94651	36082
724	94851	35978
725	95036	35867
726	95200	35749
727	95341	35622
728	95468	35489
729	95594	35356
730	95725	35226
731	95855	35094
732	95984	34963
733	96118	34833
734	96257	34705
735	96407	34580
736	96542	34451
737	96683	34323
738	96824	34196
739	96960	34067
740	97097	33938
741	97233	33809
742	97370	33679
743	97501	33548
744	97655	33425
745	97810	33302
746	97976	33183
747	98130	33060
748	98276	32933
749	98410	32803
750	98557	32677
751	98756	32568
752	98933	32452
753	99069	32322
754	99759	32372
755	99995	32273
756	100200	32164
757	100380	32047
758	100560	31930
759	100732	31810
760	100922	31695
761	101131	31586
762	101290	31462
763	101460	31341
764	101626	31218
765	101780	31092
766	101932	30965
767	102089	30839
768	102237	30711
769	102391	30584
770	102570	30465
771	102744	30344
772	102901	30218
773	103062	30093
774	103236	29971
775	103404	29848
776	103563	29722
777	103699	29590
778	103835	29457
779	103958	29321
780	104086	29186
781	104212	29051
782	104333	28915
783	104455	28778
784	104587	28645
785	104753	28520
786	104887	28387
787	105017	28253
788	105163	28123
789	105287	27987
790	105428	27856
791	105563	27723
792	105734	27600
793	105865	27466
794	105993	27331
795	106127	27198
796	106247	27061
797	106371	26926
798	106498	26791
799	106631	26657
800	106765	26524
801	106905	26393
802	107034	26258
803	107174	26127
804	107303	25992
805	107442	25860
806	107569	25725
807	107705	25593
808	107843	25461
809	107995	25332
810	108146	25203
811	108287	25071
812	108428	24939
813	108566	24807
814	108710	24676
815	108876	24550
816	109008	24416
817	109147	24284
818	109288	24152
819	109435	24022
820	109577	23890
821	109703	23755
822	109827	23620
823	109953	23485
824	110076	23349
825	110200	23214
826	110321	23078
827	110442	22942
828	110566	22806
829	110701	22673
830	110841	22541
831	110983	22410
832	111115	22276
833	111237	22140
834	111355	22004
835	111473	21868
836	111607	21734
837	111740	21601
838	111873	21467
839	112005	21334
840	112150	21203
841	112291	21071
842	112420	20937
843	112541	20801
844	112669	20667
845	112792	20531
846	112911	20396
847	113046	20263
848	113168	20127
849	113286	19991
850	113422	19858
851	113558	19726
852	113691	19592
853	113820	19458
854	113955	19325
855	114079	19190
856	114209	19057
857	114347	18924
858	114469	18789
859	114596	18655
860	114722	18520
861	114870	18389
862	115006	18257
863	115145	18124
864	115274	17990
865	115401	17856
866	115521	17721
867	115652	17587
868	115776	17453
869	115913	17320
870	116035	17185
871	116159	17050
872	116297	16918
873	116426	16784
874	116551	16650
875	116693	16518
876	116817	16383
877	116945	16249
878	117062	16114
879	117195	15981
880	117319	15846
881	117444	15712
882	117579	15579
883	117715	15446
884	117845	15313
885	117970	15179
886	118086	15043
887	118211	14909
888	118340	14775
889	118458	14640
890	118582	14506
891	118701	14371
892	118826	14237
893	118960	14104
894	119102	13972
895	119229	13839
896	119349	13704
897	119474	13570
898	119607	13437
899	119733	13303
900	119845	13168
901	119974	13034
902	120098	12900
903	120233	12768
904	120369	12635
905	120506	12502
906	120628	12368
907	120754	12234
908	120883	12101
909	121009	11967
910	121130	11833
911	121255	11700
912	121379	11566
913	121511	11433
914	121660	11301
915	121797	11169
916	121919	11035
917	122039	10901
918	122163	10767
919	122284	10633
920	122405	10499
921	122528	10365
922	122649	10231
923	122770	10097
924	122911	9965
925	123044	9832
926	123179	9700
927	123312	9567
928	123440	9434
929	123562	9300
930	123686	9166
931	123810	9033
932	123945	8900
933	124075	8767
934	124202	8634
935	124338	8501
936	124478	8369
937	124609	8236
938	124737	8103
939	124863	7969
940	124970	7835
941	125087	7701
942	125225	7569
943	125354	7436
944	125481	7303
945	125614	7170
946	125745	7037
947	125882	6904
948	126009	6771
949	126138	6638
950	126260	6505
951	126393	6372
952	126517	6239
953	126648	6106
954	126765	5973
955	126895	5840
956	127021	5707
957	127171	5575
958	127293	5442
959	127417	5309
960	127535	5175
961	127661	5042
962	127782	4909
963	127903	4776
964	128026	4643
965	128153	4510
966	128302	4378
967	128436	4245
968	128567	4113
969	128699	3980
970	128822	3847
971	128951	3714
972	129070	3581
973	129197	3448
974	129312	3315
975	129434	3182
976	129554	3049
977	129699	2917
978	129834	2785
979	129962	2652
980	130094	2519
981	130225	2387
982	130354	2254
983	130478	2121
984	130598	1988
985	130717	1856
986	130841	1723
987	130967	1590
988	131096	1458
989	131238	1325
990	131366	1193
991	131496	1060
992	131631	927
993	131759	795
994	131880	662
995	132002	530
996	132130	397
997	132251	265
998	132410	132
999	132545	0
